pergunta,resposta
Qual destas foi a primeira estação espacial do mundo?,Salyut 1
Muitas figuras históricas lutaram na terceira cruzada Qual dos líderes abaixo morreu neste movimento militar?,Frederico Barba Ruiva
Qual dos métodos a seguir NÃO aumentara a velocidade de pesquisa da sua academia?,Tornar-se a Justiça do seu reino
No Rok qual tecnologia e pré-requisito para a tecnologia militar Fitoterapia?,Camuflagem
Que recurso é necessário para viajar no Fórum Estadual?,Pontos de Ação
No RoK qual comandante tem o título Amado de Thoth?,Tutemés III
Quem foi o diretor do jogo premiado como Jogo do Ano no Game Awards 2022?,Hidetaka Miyazaki
No RoK qual das seguintes decorações precisa ser comprada com Gemas?,Vaso
Quem é o deus hindu da destruição também conhecido como dançarino cósmico?,Shiva
O Panteão foi o local de sepultamento de muitos artistas importantes desde o Renascimento. Qual dos seguintes artistas foi enterrado lá?,Raphael
Qual destas é uma das Habilidades Ativas de Diaochan?,Dança do Caos
A bandeira de que país tem o recorde mundial de ser a bandeira nacional mais antiga usada?,Dinamarca
Qual dos seguintes impérios NÃO participou da Batalha dos Três Imperadores (também conhecida como Batalha de Austerlitz)?,O Império Persa
Em que país ocorreu nasce o famoso revolucionário e estrategista militar Simón Bolívar?,Venezuela
Em que ano Mark Zuckerberg criou o Facebook?,2004
Qual desses comandantes é frequentemente descrito como tendo sobrevivido a 57 combates sem uma única derrota?,Honda Tadakatsu
Qual é a capital da Escócia?,Edimburgo
No evento O Governador Mais Poderoso qual é a classificação mínima que você precisa alcançar para receber 10 esculturas de comandante do evento?,15º
Em 1582 Oda Nobunaga foi traído e emboscado por seu general Akechi Mitsuhide. Onde isso ocorreu?,Templo de Honnō-Ji em Kyoto
Dos seguintes qual é o mais provável de ter levado diretamente à Idade do Bronze?,O bronze é mais duro e durável que outros metais disponíveis na época
Qual é a temperatura ideal para assar um frango no barril quente de um canhão otomano?,200 ºC
Qual é a meia-vida do Iodo-129 um isótopo radiotivo produzido por reatores nucleares?,157 milhões de anos
Durante um eclipse solar o objeto celestial que fica entre o Sol e a Terra é,A Lua
Quantos jogadores existem no jogo de tabuleiro Go?,2
As pirâmides maias foram feitas de quê?,Pedra
As atividades físicas diárias do povo maia NÃO incluíam,Arremesso de pinguim
Quem escreveu o romance Declínio de um Homem?,Osamu Dazai
Quais destes itens não podem ser obtidos num Baú de Equipamentos?,Tomos de Conhecimento
Quem foi o pai de Edward de Woodstock?,Eduardo III
Qual das seguintes não é um dos Destinos da mitologia nórdica?,Karma
Qual destas opções é o museu de arte mais visitado do mundo nos últimos anos?,Louvre
A Peste de Justiniano de 541-549 foi o primeiro surto da primeira pandemia de peste. Que outro grande estava ocorrendo no Império Romano do Oriente naquela época?,A Guerra Gótica
Em qual guerra norte-americana foi emitida a Proclamação de Emancipação?,Guerra Civil
Qual é o formato de um gol de futebol quando visto de frente?,Um retângulo
Em RoK qual das habilidades de Sun Tzu é melhorada por sua habilidade de especialidade?,Arte da Guerra
Em RoK há uma estrada pavimentada com tijolos dourados que pode ser adquirida por 100 Gemas. Como ela se chama?,Estrada do Rei
Os métodos de mitigação da desertificação NÃO incluem,Superexploração das águas subterrâneas
Na mitologia nórdica a quem pertence o martelo Mjölnir?,Thor
Qual desses grupos étnicos chineses é conhecido por beber kumis uma bebida feita com leite de égua fermentado?,Mongóis
Em RoK qual é o número máximo de minas de ouro que um jogador pode construir?,4
Qual dessas obras não se passa durante a Guerra da Tróia?,Antígona
Em que continente está localizado Benin?,África
Quem era responsável por conduzir bravos guerreiros do Valhalla após a morte na mitologia nórdica?,Valquírias
Qual destas NÃO é uma etapa típica do tratamento de esgoto?,Descarga
Quando alguém pisa em uma casca de banana calçando sapatos o coeficiente de atrito entre o sapato e a casca de banana é de,0.07
Em RoK qual das seguintes NÃO é uma das habilidades de Mulan?,Coração Inteligente
Em que país nasceu Botticelli pintor de O Nascimento de Vênus?,Itália
Qual dessas cidades NÃO fica na Ásia?,Melbourne
Li Xin o ancestral do General Voador Li Guang era um general de qual estado durante o período dos Reinos Combatentes da história chinesa?,Qin
Dentre as fossas oceânicas conhecidas qual é a mais profunda do mundo?,A Fossa das Marianas
Qual foi o único presidente dos Estados Unidos que serviu mais do que dois mandatos?,Franklin D. Roosevelt
De acordo com a cronologia Maia o Período Pré-Clássico Tardio se enquadra em,1 A.C. a 159 D.C.
Na fábula Os Músicos de Bremen dos Irmãos Grimm um grupo de animais viaja para Bremen em busca de uma carreira musical. Qual dos seguintes animais NÃO faz parte do grupo?,Porco
As Cataratas do Iguaçu ficam na fronteira entre quais países?,Brasil e Argentina
Qual destas figuras históricas jamais se envolveu com a medicina?,Justiniano
Qual destes países modernos NÃO está localizado no território da civilização maia?,República Dominicana
Em RoK o que você tem que fazer para concluir a missão Espada do Rei?,Recrutar 200 Unidades de Infantaria
Na mitologia maia quantos níveis existem no céu e no submundo combinados?,22
Qual runa do Futhark representa Tyr o deus da guerra e da justiça na mitologia germânica?,Tiwaz
Qual das árvores a seguir é comum em ecossistemas boreais?,Abeto
De acordo com a World Athletics qual destes NÃO é um peso de disco internacional oficial?,125 kg
Qual dos seguintes eventos ocorreu na América do Norte durante os Loucos Anos Vinte?,Início da publicação da revista Weird Tales
Qual das seguintes regiões é o habitat principal dos ursos polares?,Círculo Ártico
Que comandante é conhecida como a Dama dos Mércios?,AEthelflaed
Quem dirigiu o filme Primavera Numa Pequena Cidade?,Fei Mu
Nos séculos 16 a 17 que doença os famosos médicos da peste mascarados de pássaros tratavam?,Praga bubônica
Em RoK qual dos seguintes armamentos pode ser usado com a formação em arco?,Emblema do Norte
Qual dos seguintes órgãos faz parte do sistema respiratório humano?,Pulmões
Em RoK qual comandante pode afastar os buffs de ataque do inimigo?,Amanitore
Qual dos seguintes NÃO é um jogo de bola?,Esgrima
Quem ordenou a produção do manuscrito civil popularmente conhecido como Livro do Juízo Final?,Guilherme I
Como é chamada a habilidade de especialização do Comandante Cao Cao?,Imperador Wu de Wei
Em que país misterioso Stonehenge está localizado?,Reino Unido
Em RoK qual é a cor da bainha de Matilda de Flanders?,Azul
Qual dos seguintes animais estava na bandeira imperial do Império Inca?,Cobra
Qual foi o primeiro filme dirigido por Satoshi Kon?,Perfect Blue
Durante a fusao nuclear qual dos seguintes elementos produz menos energia do que absorve?,Ferro
Qual dos seguintes treinadores levou seu time a 13 títulos da Liga de Futebol Inglesa?,Alex Ferguson
Em que continente estava localizado o Império Inca?,América do Sul
Uma cratera no outro lado da Lua recebeu o nome de um oficial chines que foi (supostamente) a primeira pessoa a viajar para o espaço. Qual era o nome dele?,Wan Hu
Qual dos seguintes seres vivos são carnívoros?,Libélulas
O Mar de Aral já foi o quarto maior lago do mundo mas desde então praticamente secou. Onde ele está localizado?,Ásia Central
Qual destas é uma descrição incorreta da Batalha de Poitiers?,A campanha aconteceu durante a Primeira Guerra Mundial
Na mitologia grega qual juiz dos mortos era responsável por dar o voto decisivo em todas as almas?,Minos
Qual é o slogan da fabricante de armas Heckler & Koch?,Sem concessões!
Qual clube ganhou mais títulos da Liga de Futebol Inglesa?,Manchester United
Quem é o treinador mais antigo da história do Arsenal FC?,Arsene Wenger
Ao velejar durante uma tempestade ocasionalmente é possível avistar um efeito de raio na ponta do mastro. Qual é o nome desse fenômeno?,Fogo de Santelmo
A profundidade no ponto mais profundo do Mar Báltico é de,459m
Qual dos seguintes clube de futebol NÃO tem sede em Londres?,Everton
Qual dos seguintes NÃO é uma arma branca?,Pistola
No xadrez internacional qual lado se move primeiro?,Branco
Na revista em quadrinhos Batman da DC Comics qual versão de Robin morreu por conta de uma votação dos leitores?,Jason Todd (Capuz Vermelho)
Em seu diálogo no jogo quem Cleópatra VII menciona que foi assassinado pelos seus próprios senadores?,Júlio César
Sigmund Freud pai da psicanálise era de qual país?,Áustria
Qual dos seguintes reinados de imperadores chineses foi conhecido como o Reinado de Zhenguan?,Imperador Taizong de Tang
Quem foram os dois beligerantes na Batalha de Thermopylae?,Gregos e persas
Quem ganhou um Prêmio Nobel em duas áreas diferentes?,Marie Curie
Qual das seguintes equipes foi a primeira a marcar 100 pontos em uma única temporada da Liga de Futebol Inglesa?,Manchester City
Qual é o aumento na Velocidade de Coleta quando os membros da aliança coletam recursos no território da aliança?,25%
Qual é o apelido de Belisário?,O Último dos Romanos
O Oscar ocasionalmente apresenta o Prêmio Humanistário Jean Hersholt De qual desses filmes Jean Hersholt participou?,Ouro e Maldição (1924)
Quem foi o autor do romance O Senhor dos Anéis?,J.R.R. Tolkien
Qual antiga dinastia chinesa seguiu a disnatia Shang?,A Disnatia Zhou
Qual das seguintes aulas você provavelmente assistirá na faculdade de direito?,Introdução ao Direito Penal
Qual das seguintes afirmações é mais provável que um bebê humano de 6 meses de idade faça?,Mama
Qual dos seguintes órgãos NÃO faz parte do sistema respiratório humano?,Chave de impacto
Qual dos seguintes eventos ocorreu DEPOIS do século 19?,O lançamento de Rise of Kingdoms
Qual destes queijos é classificado como um queijo duro?,Parmesão
O personagem Robin Hood apareceu pela primeira vez no folclore de qual país?,Inglaterra
Qual foi a primeira guerra chamada de a guerra para acabar com todas as guerras?, Primeira Guerra Mundial
Qual das seguintes opções é um jogo de bola?,Futebol
No RoK. quais alimentos são cultivados nas fazendas da sua cidade?,Milho
Em RoK. qual das opções a seguir NÃO aumenta a Saúde de suas unidades de infantaria?,Nível do Posto Comercial
Na introdução da história de Cao Cao no RoK. ele diz ao governador que não se importa em ser tratado por outro nome. Qual é esse nome?,Mengde
Qual é o maior aeroporto do mundo em área?,Aeroporto Internacional King Fahd
Quando foi oficialmente criada a União de Nações Sul-Americanas (UNASUL)?,2008
Qual desses números NÃO está na sequência de Fibonacci?,4
Na história de Aethelflaed no RoK. ela menciona que sente cheiro de demônio. Quem são os demônio aos quais ela está se referindo?,Vikings
Qual planeta do nosso sistema solar está mais frequentemente retrógrado em relação à Terra?,Mercúrio
Qual é a relação entre diamantes e grafite?,Ambos são alótropos de carbono
Qual dos anéis de Saturno está fora do limite de Roche de Saturno?,Anel E
Qual continente foi o berço da civilização Maia?,As Américas (Peru)
Qual destes animais NÃO é um roedor?,Macaco
Qual destes autores criou o personagem Eugene Onegin?,Alexander Pushkin
Quanto tempo levaria para um feixe de luz dar a volta na Terra 7 vezes?, 0.94 segundos
Qual dos seguintes animais é um anfíbio?,sapos
Quem sucedeu a Pedro I como imperador da Rússia?,Catherine I
Na mitologia grega. qual era o nome do rei que transformava em ouro tudo o que tocava?,Midas
A bandeira de qual desses países contém o maior número de cores?,República da Coreia
O alfabeto gótico foi desenvolvido por qual bispo?,Ulfilas
Quem escreveu A Eneida. o primeiro poema épico da literatura ocidental?,Virgílio
Qual das seguintes marcas forneceu a bola oficial da Liga de Futebol Inglesa antes de 2000?,Misterioso
Quem reunificou a China e encerrou o período das Dinastias do Norte e do Sul da história chinesa?,Imperador Wen do Sui
Em que idioma foi escrito o Nibelungenlied?,Alto-alemão médio
Em que museu está atualmente a pintura A Coroação de Napoleao?,Louvre
Qual imperador romano derrotou e capturou Zenobia?,Aureliano
No RoK. qual dos seguintes comandantes carrega um escudo?,Hermann
Qual dos seguintes animais NÃO está extinto?,Panda gigante
Em 2024. qual dessas construções ainda NÃO foi concluída?,Sagrada Família
Qual dos seguintes é um número primo?,29
Qual filósofo cunhou o termo filosófico entelequia?,Aristóteles
Qual é a substância mais abundante no corpo de um adulto saudável?, Água
Qual dos seguintes não é um gás nobre?,Oxigênio
Qual desses materiais é usado para forjar equipamentos de coleta e manutenção da paz?,Osso animal
As Ilhamas são nativas de qual continente terrestre?,América do Sul
Qual é o pico insular mais alto no mundo?,Puncak Jaya
No envo do Fórum Estadual O Bosque do Crepúsculo. os bosques titulares ficam em que direção da cidade?,Oeste
Em 1689. quais foram os dois governantes que concederam o consentimento real à Declaração de Direitos Ingleses?.William III e Mary II
Qual das seguintes peças de Shakespeare é uma comédia romântica escrita em algum momento entre 1590 e 1596?,Sonho de Uma Noite de Verão
Quem é o marido de Matilda de Flanders?,Guilherme I (William)
No corpo humano. qual dos seguintes ossos está mais próximo do coração?,Esterno
Qual das seguintes unidades de medida NÃO é usada para medir radiação ionizante?,Lúmens
Com qual destes governantes a Rainha Tamar da Geórgia formou um pacto de não agressão?,Saladino
Qual dessas frutas NÃO cresce em árvores?,Morango
Em RoK. qual comandante é apelidado de Rainha de Silla?,Seondeok
A qual exército pertencia a Guarda Varangiana?,O exército bizantino
A conquista otomana de Constantinopla em 1453 marcou o fim do Império Romano do Oriente. Quem era o imperador romano na época?,Constantino XI Paleólogo
Qual é a duração do item de Recrutamento de Construtor?, 2 Dias
Qual é o maior lago da Europa?,Lago Ladoga
Quem foi o primeiro autor japonês a receber o Prêmio Nobel de Literatura?,Yasunari Kawabata
Qual das seguintes afirmações sobre Zhuge Liang em RoK está incorreta?,Ele se destaca na liderança de unidades de cavalaria
Qual dos seguintes títulos só pode ser usado por um governante islâmico?,Sultão
Qual das opções a seguir não é um benefício de atualizar sua Taberna?,Melhora a variedade de recompensas em Baús Dourados
Ao atualizar seu Armazém do Nv. 24 para o Nv. 25. qual recurso ganha mais capacidade de proteção de recursos?,Ouro
Em RoK. qual dos seguintes comandantes se destaca na liderança de unidades de cerco?,Margaret I
Em RoK. qual comandante tem o apelido de Zizka do Cálice?,Jan Zizka
Durante o Período dos Estados Beligerantes da China. que estado derrotou os outros seis e construiu o império chinês unificado?,Qin
Na China. os bolinhos de arroz (niangao) são uma iguaria frequentemente consumida durante o Ano Novo Chinês. Qual das seguintes afirmações sobre niangao está INCORRETA?,Geralmente só são consumidos durate o Ano Novo Chinês
De acordo com a lenda chinesa. qual das alternativas a seguir não é uma das fraquezas da terrível fera conhecida como Nian?,Água
Durante qual dinastia chinesa o Siku Quanshu foi compilado?,Qing
Em que dia cai a véspera do Ano Novo Chinês no calendário lunar?,Um dia antes do Ano Novo Lunar
Qual dos seguintes animais do zodíaco chinês é geralmente considerado fictício?,Dragão
O tipo móvel foi usado pela primeira vez em que país?,China
Em que ano ocorreu a Batalha de Guandu?,200 (não AC)
Qual poeta chinês escreveu o poema Li Sao?,Qu Yuan
Em seu diálogo no jogo. qual comandantes Sun Tzu alerta o governador para ficar de olho?,Cao Cao
A Cidade Proibida foi construída durante o governo de qual dinastia chinesa?,Michelangelo
Quem queimou o Palácio de Epang. construído durante a Dinastia Qin na China?,Xiang Yu
Qual das alternativas a seguir não é uma tradição comum do Ano Novo Chinês?,Comer bolos lunares
Qual das seguintes formas NÃO foi usada pelo Espírito de Ossos Brancos em sua lendária batalha contra o Rei Macaco Sun Wukong na Jornada ao Oeste.,Um garoto
Cento e quarenta mil. todos desarmados! Entre estes não havia um único homem? Qual poeta da dinastia Tang escreveu este dístico?,Madame Huarui
Qual antiga dinastia chinesa seguiu a dinastia Shang?,A Dinastia Zhou
Qual das seguintes civilizações fornece um aumeto na velocidade de construção?,China
Em qual categoria se enquandra o sistema formal de escrita do antigo Egito?,Hieroglífico
Quem pintou Ninfa do Rio Luo?,Gu Kaizhi
Qual dessas opções NÃO foi um dos chamados 24 heróis do Pavilhão Lingyan?,Li mi
Em qual tribunal o Huainanzi foi compilado em um livro?,Liu An
Manuscrito corrido é um estilo de caligrafia chinesa. Qual das seguintes obras NÃO está escrita em dessa forma?,Estela do Pagode Duobao
Qual dessas figuras NÃO é referenciada no título do antigo poema chinês: Oito Imortais da Taça de Vinho?,Du fu
Quantas estrelas aparecem no banner exibido atrás do comandante Minamoto no Yoshitsune?,3
Na história do folclore chinês O vaqueiro e a tecelã. qual constelação o vaqueiro representa?,Áquila
Quem escreveu o romance The Scholars?,Wu Jingzi
Em RoK. qual dos seguintes personagens Sun Tzu menciona em seu diálogo Confiança?,Mulan
O mapa Qingming captura a vida cotidiana e a paisagem de qual antiga dinastia chinesa?,Song
Quem foi o último Imperador da China?,O Imperador Xuantong (Puyi)
Cada animal do zodíaco chinês está associado a um dos cincos elementos clássicos chineses. Qual elemento tem mais animais do zodíaco associados a ele?,Terra
Onde fica o Mausoléu do Primeiro Imperador Qin localizado na China?,Shaanxi
Qual das seguintes não é considerada uma das Quatro Grandes Invenções da China antiga?,Sismógrafo
O Templo do Céu. na China. foi construído durante o reino de que imperador?,O Imperador Yongle (Shy Di)
A Batalha de Changping foi travada entre quais duas forças?,Reinos de Qin e Zhao
A ametista é valorizada por sua tonalidade violeta brilhante. De que mineral ela é uma variedade?,Quartzo
Quem fundou a Ordem da Jarreteira da Inglaterra?,Eduardo III
Qual destas afirmações sobre o título tribuna da plebe está incorreta?,Eles eram totalmente subservientes ao Senado
Qual destas afirmações sobre o título tribuna da plebe está incorreta?,Eles eram totalmente subservientes ao Senado
Qual das seguintes não é um objetivo da mitologia grega?,Oferecer um caminho para a salvação
